n,v2,log_ratio
32769,2,-0.2876719003
32771,1,0.4054752797
32773,4,-1.6739662626
32775,1,0.4054752784
32777,2,-0.2876719028
32779,1,0.4054752772
32781,3,-0.9808190846
32783,1,0.4054752759
32785,2,-0.2876719053
32787,1,0.4054752747
32789,6,-3.0602606287
32791,1,0.4054752734
32793,2,-0.2876719077
32795,1,0.4054752722
32797,3,-0.9808190895
32799,1,0.4054752710
32801,2,-0.2876719102
32803,1,0.4054752697
32805,4,-1.6739662726
32807,1,0.4054752685
32809,2,-0.2876719127
32811,1,0.4054752673
32813,3,-0.9808190945
32815,1,0.4054752660
32817,2,-0.2876719152
32819,1,0.4054752648
32821,5,-2.3671134581
32823,1,0.4054752635
32825,2,-0.2876719176
32827,1,0.4054752623
32829,3,-0.9808190994
32831,1,0.4054752611
32833,2,-0.2876719201
32835,1,0.4054752598
32837,4,-1.6739662825
32839,1,0.4054752586
32841,2,-0.2876719226
32843,1,0.4054752574
32845,3,-0.9808191044
32847,1,0.4054752561
32849,2,-0.2876719251
32851,1,0.4054752549
32853,8,-4.4465550097
32855,1,0.4054752536
32857,2,-0.2876719275
32859,1,0.4054752524
32861,3,-0.9808191093
32863,1,0.4054752512
32865,2,-0.2876719300
32867,1,0.4054752499
32869,4,-1.6739662924
32871,1,0.4054752487
32873,2,-0.2876719325
32875,1,0.4054752475
32877,3,-0.9808191143
32879,1,0.4054752462
32881,2,-0.2876719349
32883,1,0.4054752450
32885,5,-2.3671134778
32887,1,0.4054752438
32889,2,-0.2876719374
32891,1,0.4054752425
32893,3,-0.9808191192
32895,1,0.4054752413
32897,2,-0.2876719399
32899,1,0.4054752401
32901,4,-1.6739663022
32903,1,0.4054752388
32905,2,-0.2876719423
32907,1,0.4054752376
32909,3,-0.9808191241
32911,1,0.4054752364
32913,2,-0.2876719448
32915,1,0.4054752352
32917,6,-3.0602606683
32919,1,0.4054752339
32921,2,-0.2876719473
32923,1,0.4054752327
32925,3,-0.9808191290
32927,1,0.4054752315
32929,2,-0.2876719497
32931,1,0.4054752302
32933,4,-1.6739663121
32935,1,0.4054752290
32937,2,-0.2876719522
32939,1,0.4054752278
32941,3,-0.9808191340
32943,1,0.4054752265
32945,2,-0.2876719546
32947,1,0.4054752253
32949,5,-2.3671134975
32951,1,0.4054752241
32953,2,-0.2876719571
32955,1,0.4054752229
32957,3,-0.9808191389
32959,1,0.4054752216
32961,2,-0.2876719595
32963,1,0.4054752204
32965,4,-1.6739663219
32967,1,0.4054752192
32969,2,-0.2876719620
32971,1,0.4054752180
32973,3,-0.9808191438
32975,1,0.4054752167
32977,2,-0.2876719644
32979,1,0.4054752155
32981,7,-3.7534078685
32983,1,0.4054752143
32985,2,-0.2876719669
32987,1,0.4054752130
32989,3,-0.9808191487
32991,1,0.4054752118
32993,2,-0.2876719693
32995,1,0.4054752106
32997,4,-1.6739663317
32999,1,0.4054752094
33001,2,-0.2876719718
33003,1,0.4054752081
33005,3,-0.9808191536
33007,1,0.4054752069
33009,2,-0.2876719742
33011,1,0.4054752057
33013,5,-2.3671135172
33015,1,0.4054752045
33017,2,-0.2876719767
33019,1,0.4054752033
33021,3,-0.9808191585
33023,1,0.4054752020
33025,2,-0.2876719791
33027,1,0.4054752008
33029,4,-1.6739663415
33031,1,0.4054751996
33033,2,-0.2876719816
33035,1,0.4054751984
33037,3,-0.9808191634
33039,1,0.4054751971
33041,2,-0.2876719840
33043,1,0.4054751959
33045,6,-3.0602607075
33047,1,0.4054751947
33049,2,-0.2876719865
33051,1,0.4054751935
33053,3,-0.9808191682
33055,1,0.4054751923
33057,2,-0.2876719889
33059,1,0.4054751910
33061,4,-1.6739663512
33063,1,0.4054751898
33065,2,-0.2876719913
33067,1,0.4054751886
33069,3,-0.9808191731
33071,1,0.4054751874
33073,2,-0.2876719938
33075,1,0.4054751862
33077,5,-2.3671135367
33079,1,0.4054751849
33081,2,-0.2876719962
33083,1,0.4054751837
33085,3,-0.9808191780
33087,1,0.4054751825
33089,2,-0.2876719987
33091,1,0.4054751813
33093,4,-1.6739663610
33095,1,0.4054751801
