n,v2,log_ratio
33097,2,-0.2876720011
33099,1,0.4054751789
33101,3,-0.9808191829
33103,1,0.4054751776
33105,2,-0.2876720035
33107,1,0.4054751764
33109,10,-5.8328494492
33111,1,0.4054751752
33113,2,-0.2876720060
33115,1,0.4054751740
33117,3,-0.9808191877
33119,1,0.4054751728
33121,2,-0.2876720084
33123,1,0.4054751716
33125,4,-1.6739663707
33127,1,0.4054751703
33129,2,-0.2876720108
33131,1,0.4054751691
33133,3,-0.9808191926
33135,1,0.4054751679
33137,2,-0.2876720133
33139,1,0.4054751667
33141,5,-2.3671135561
33143,1,0.4054751655
33145,2,-0.2876720157
33147,1,0.4054751643
33149,3,-0.9808191975
33151,1,0.4054751631
33153,2,-0.2876720181
33155,1,0.4054751618
33157,4,-1.6739663804
33159,1,0.4054751606
33161,2,-0.2876720205
33163,1,0.4054751594
33165,3,-0.9808192023
33167,1,0.4054751582
33169,2,-0.2876720230
33171,1,0.4054751570
33173,6,-3.0602607464
33175,1,0.4054751558
33177,2,-0.2876720254
33179,1,0.4054751546
33181,3,-0.9808192072
33183,1,0.4054751534
33185,2,-0.2876720278
33187,1,0.4054751522
33189,4,-1.6739663901
33191,1,0.4054751509
33193,2,-0.2876720302
33195,1,0.4054751497
33197,3,-0.9808192120
33199,1,0.4054751485
33201,2,-0.2876720326
33203,1,0.4054751473
33205,5,-2.3671135755
33207,1,0.4054751461
33209,2,-0.2876720351
33211,1,0.4054751449
33213,3,-0.9808192168
33215,1,0.4054751437
33217,2,-0.2876720375
33219,1,0.4054751425
33221,4,-1.6739663998
33223,1,0.4054751413
33225,2,-0.2876720399
33227,1,0.4054751401
33229,3,-0.9808192217
33231,1,0.4054751389
33233,2,-0.2876720423
33235,1,0.4054751376
33237,7,-3.7534079463
33239,1,0.4054751364
33241,2,-0.2876720447
33243,1,0.4054751352
33245,3,-0.9808192265
33247,1,0.4054751340
33249,2,-0.2876720471
33251,1,0.4054751328
33253,4,-1.6739664095
33255,1,0.4054751316
33257,2,-0.2876720495
33259,1,0.4054751304
33261,3,-0.9808192313
33263,1,0.4054751292
33265,2,-0.2876720520
33267,1,0.4054751280
33269,5,-2.3671135948
33271,1,0.4054751268
33273,2,-0.2876720544
33275,1,0.4054751256
33277,3,-0.9808192361
33279,1,0.4054751244
33281,2,-0.2876720568
33283,1,0.4054751232
33285,4,-1.6739664191
33287,1,0.4054751220
33289,2,-0.2876720592
33291,1,0.4054751208
33293,3,-0.9808192409
33295,1,0.4054751196
33297,2,-0.2876720616
33299,1,0.4054751184
33301,6,-3.0602607850
33303,1,0.4054751172
33305,2,-0.2876720640
33307,1,0.4054751160
33309,3,-0.9808192458
33311,1,0.4054751148
33313,2,-0.2876720664
33315,1,0.4054751136
33317,4,-1.6739664287
33319,1,0.4054751124
33321,2,-0.2876720688
33323,1,0.4054751112
33325,3,-0.9808192506
33327,1,0.4054751100
33329,2,-0.2876720712
33331,1,0.4054751088
33333,5,-2.3671136141
33335,1,0.4054751076
33337,2,-0.2876720736
33339,1,0.4054751064
33341,3,-0.9808192554
33343,1,0.4054751052
33345,2,-0.2876720760
33347,1,0.4054751040
33349,4,-1.6739664383
33351,1,0.4054751028
33353,2,-0.2876720784
33355,1,0.4054751016
33357,3,-0.9808192602
33359,1,0.4054751004
33361,2,-0.2876720808
33363,1,0.4054750992
33365,8,-4.4465551654
33367,1,0.4054750980
33369,2,-0.2876720832
33371,1,0.4054750968
33373,3,-0.9808192649
33375,1,0.4054750956
33377,2,-0.2876720856
33379,1,0.4054750944
33381,4,-1.6739664479
33383,1,0.4054750932
33385,2,-0.2876720880
33387,1,0.4054750920
33389,3,-0.9808192697
33391,1,0.4054750908
33393,2,-0.2876720904
33395,1,0.4054750896
33397,5,-2.3671136332
33399,1,0.4054750884
33401,2,-0.2876720928
33403,1,0.4054750872
33405,3,-0.9808192745
33407,1,0.4054750860
33409,2,-0.2876720952
33411,1,0.4054750848
33413,4,-1.6739664575
33415,1,0.4054750836
33417,2,-0.2876720975
33419,1,0.4054750824
33421,3,-0.9808192793
33423,1,0.4054750812
33425,2,-0.2876720999
33427,1,0.4054750800
33429,6,-3.0602608234
33431,1,0.4054750788
33433,2,-0.2876721023
33435,1,0.4054750777
33437,3,-0.9808192841
33439,1,0.4054750765
33441,2,-0.2876721047
33443,1,0.4054750753
33445,4,-1.6739664670
33447,1,0.4054750741
33449,2,-0.2876721071
33451,1,0.4054750729
33453,3,-0.9808192888
33455,1,0.4054750717
33457,2,-0.2876721095
33459,1,0.4054750705
33461,5,-2.3671136523
33463,1,0.4054750693
33465,2,-0.2876721118
33467,1,0.4054750681
33469,3,-0.9808192936
33471,1,0.4054750669
33473,2,-0.2876721142
33475,1,0.4054750657
33477,4,-1.6739664765
33479,1,0.4054750645
33481,2,-0.2876721166
33483,1,0.4054750634
33485,3,-0.9808192984
33487,1,0.4054750622
33489,2,-0.2876721190
33491,1,0.4054750610
33493,7,-3.7534080230
33495,1,0.4054750598
33497,2,-0.2876721214
33499,1,0.4054750586
33501,3,-0.9808193031
33503,1,0.4054750574
33505,2,-0.2876721237
33507,1,0.4054750562
33509,4,-1.6739664860
33511,1,0.4054750550
33513,2,-0.2876721261
33515,1,0.4054750539
33517,3,-0.9808193079
33519,1,0.4054750527
33521,2,-0.2876721285
33523,1,0.4054750515
33525,5,-2.3671136714
33527,1,0.4054750503
33529,2,-0.2876721309
33531,1,0.4054750491
33533,3,-0.9808193126
33535,1,0.4054750479
33537,2,-0.2876721332
33539,1,0.4054750467
33541,4,-1.6739664955
33543,1,0.4054750456
33545,2,-0.2876721356
33547,1,0.4054750444
33549,3,-0.9808193173
33551,1,0.4054750432
33553,2,-0.2876721380
33555,1,0.4054750420
33557,6,-3.0602608614
33559,1,0.4054750408
33561,2,-0.2876721403
33563,1,0.4054750396
33565,3,-0.9808193221
33567,1,0.4054750384
33569,2,-0.2876721427
33571,1,0.4054750373
33573,4,-1.6739665050
33575,1,0.4054750361
33577,2,-0.2876721451
33579,1,0.4054750349
33581,3,-0.9808193268
33583,1,0.4054750337
33585,2,-0.2876721474
33587,1,0.4054750325
33589,5,-2.3671136903
33591,1,0.4054750314
33593,2,-0.2876721498
33595,1,0.4054750302
33597,3,-0.9808193315
33599,1,0.4054750290
33601,2,-0.2876721522
33603,1,0.4054750278
33605,4,-1.6739665145
33607,1,0.4054750266
33609,2,-0.2876721545
33611,1,0.4054750254
33613,3,-0.9808193363
33615,1,0.4054750243
33617,2,-0.2876721569
33619,1,0.4054750231
33621,9,-5.1397024220
33623,1,0.4054750219
33625,2,-0.2876721592
33627,1,0.4054750207
33629,3,-0.9808193410
33631,1,0.4054750195
33633,2,-0.2876721616
33635,1,0.4054750184
33637,4,-1.6739665239
33639,1,0.4054750172
33641,2,-0.2876721640
33643,1,0.4054750160
33645,3,-0.9808193457
33647,1,0.4054750148
33649,2,-0.2876721663
33651,1,0.4054750137
33653,5,-2.3671137092
33655,1,0.4054750125
33657,2,-0.2876721687
33659,1,0.4054750113
33661,3,-0.9808193504
33663,1,0.4054750101
33665,2,-0.2876721710
33667,1,0.4054750090
33669,4,-1.6739665333
33671,1,0.4054750078
33673,2,-0.2876721734
33675,1,0.4054750066
33677,3,-0.9808193551
33679,1,0.4054750054
33681,2,-0.2876721757
33683,1,0.4054750042
33685,6,-3.0602608991
33687,1,0.4054750031
33689,2,-0.2876721781
33691,1,0.4054750019
33693,3,-0.9808193598
33695,1,0.4054750007
33697,2,-0.2876721804
33699,1,0.4054749995
33701,4,-1.6739665427
33703,1,0.4054749984
33705,2,-0.2876721828
33707,1,0.4054749972
33709,3,-0.9808193645
33711,1,0.4054749960
33713,2,-0.2876721851
33715,1,0.4054749949
33717,5,-2.3671137280
33719,1,0.4054749937
33721,2,-0.2876721875
33723,1,0.4054749925
33725,3,-0.9808193692
33727,1,0.4054749913
33729,2,-0.2876721898
33731,1,0.4054749902
33733,4,-1.6739665521
33735,1,0.4054749890
33737,2,-0.2876721922
33739,1,0.4054749878
33741,3,-0.9808193739
33743,1,0.4054749867
33745,2,-0.2876721945
33747,1,0.4054749855
33749,7,-3.7534080985
33751,1,0.4054749843
33753,2,-0.2876721968
33755,1,0.4054749831
33757,3,-0.9808193786
33759,1,0.4054749820
33761,2,-0.2876721992
33763,1,0.4054749808
33765,4,-1.6739665615
33767,1,0.4054749796
33769,2,-0.2876722015
33771,1,0.4054749785
33773,3,-0.9808193832
33775,1,0.4054749773
33777,2,-0.2876722039
33779,1,0.4054749761
33781,5,-2.3671137467
33783,1,0.4054749750
33785,2,-0.2876722062
33787,1,0.4054749738
33789,3,-0.9808193879
33791,1,0.4054749726
33793,2,-0.2876722085
33795,1,0.4054749715
33797,4,-1.6739665708
33799,1,0.4054749703
33801,2,-0.2876722109
33803,1,0.4054749691
33805,3,-0.9808193926
33807,1,0.4054749680
33809,2,-0.2876722132
33811,1,0.4054749668
33813,6,-3.0602609366
33815,1,0.4054749656
33817,2,-0.2876722155
33819,1,0.4054749645
33821,3,-0.9808193973
33823,1,0.4054749633
33825,2,-0.2876722179
33827,1,0.4054749621
33829,4,-1.6739665801
33831,1,0.4054749610
33833,2,-0.2876722202
33835,1,0.4054749598
33837,3,-0.9808194019
33839,1,0.4054749586
33841,2,-0.2876722225
33843,1,0.4054749575
33845,5,-2.3671137654
33847,1,0.4054749563
33849,2,-0.2876722248
33851,1,0.4054749551
33853,3,-0.9808194066
33855,1,0.4054749540
33857,2,-0.2876722272
33859,1,0.4054749528
33861,4,-1.6739665895
33863,1,0.4054749516
33865,2,-0.2876722295
33867,1,0.4054749505
33869,3,-0.9808194112
33871,1,0.4054749493
33873,2,-0.2876722318
33875,1,0.4054749482
33877,8,-4.4465553163
33879,1,0.4054749470
33881,2,-0.2876722341
33883,1,0.4054749458
33885,3,-0.9808194159
33887,1,0.4054749447
33889,2,-0.2876722365
33891,1,0.4054749435
33893,4,-1.6739665987
33895,1,0.4054749424
33897,2,-0.2876722388
33899,1,0.4054749412
33901,3,-0.9808194205
33903,1,0.4054749400
33905,2,-0.2876722411
33907,1,0.4054749389
33909,5,-2.3671137839
33911,1,0.4054749377
33913,2,-0.2876722434
33915,1,0.4054749366
33917,3,-0.9808194251
33919,1,0.4054749354
33921,2,-0.2876722457
33923,1,0.4054749342
33925,4,-1.6739666080
33927,1,0.4054749331
33929,2,-0.2876722481
33931,1,0.4054749319
33933,3,-0.9808194298
33935,1,0.4054749308
33937,2,-0.2876722504
33939,1,0.4054749296
33941,6,-3.0602609738
33943,1,0.4054749284
33945,2,-0.2876722527
33947,1,0.4054749273
33949,3,-0.9808194344
33951,1,0.4054749261
33953,2,-0.2876722550
33955,1,0.4054749250
33957,4,-1.6739666173
33959,1,0.4054749238
33961,2,-0.2876722573
33963,1,0.4054749227
33965,3,-0.9808194390
33967,1,0.4054749215
33969,2,-0.2876722596
33971,1,0.4054749204
33973,5,-2.3671138025
33975,1,0.4054749192
33977,2,-0.2876722619
33979,1,0.4054749180
33981,3,-0.9808194437
33983,1,0.4054749169
33985,2,-0.2876722643
33987,1,0.4054749157
33989,4,-1.6739666265
33991,1,0.4054749146
33993,2,-0.2876722666
33995,1,0.4054749134
33997,3,-0.9808194483
33999,1,0.4054749123
34001,2,-0.2876722689
34003,1,0.4054749111
34005,7,-3.7534081728
34007,1,0.4054749100
34009,2,-0.2876722712
34011,1,0.4054749088
34013,3,-0.9808194529
34015,1,0.4054749077
34017,2,-0.2876722735
34019,1,0.4054749065
34021,4,-1.6739666357
34023,1,0.4054749054
34025,2,-0.2876722758
34027,1,0.4054749042
34029,3,-0.9808194575
34031,1,0.4054749031
34033,2,-0.2876722781
34035,1,0.4054749019
34037,5,-2.3671138209
34039,1,0.4054749007
34041,2,-0.2876722804
34043,1,0.4054748996
34045,3,-0.9808194621
34047,1,0.4054748984
34049,2,-0.2876722827
34051,1,0.4054748973
34053,4,-1.6739666450
34055,1,0.4054748961
34057,2,-0.2876722850
34059,1,0.4054748950
34061,3,-0.9808194667
34063,1,0.4054748938
34065,2,-0.2876722873
34067,1,0.4054748927
34069,6,-3.0602610107
34071,1,0.4054748916
34073,2,-0.2876722896
34075,1,0.4054748904
34077,3,-0.9808194713
34079,1,0.4054748893
34081,2,-0.2876722919
34083,1,0.4054748881
34085,4,-1.6739666541
34087,1,0.4054748870
34089,2,-0.2876722942
34091,1,0.4054748858
34093,3,-0.9808194759
34095,1,0.4054748847
34097,2,-0.2876722965
34099,1,0.4054748835
34101,5,-2.3671138393
34103,1,0.4054748824
34105,2,-0.2876722988
34107,1,0.4054748812
34109,3,-0.9808194805
34111,1,0.4054748801
34113,2,-0.2876723011
34115,1,0.4054748789
34117,4,-1.6739666633
34119,1,0.4054748778
34121,2,-0.2876723033
34123,1,0.4054748766
34125,3,-0.9808194850
34127,1,0.4054748755
34129,2,-0.2876723056
34131,1,0.4054748744
34133,12,-7.2191441124
34135,1,0.4054748732
34137,2,-0.2876723079
34139,1,0.4054748721
34141,3,-0.9808194896
34143,1,0.4054748709
34145,2,-0.2876723102
34147,1,0.4054748698
34149,4,-1.6739666725
34151,1,0.4054748686
34153,2,-0.2876723125
34155,1,0.4054748675
34157,3,-0.9808194942
34159,1,0.4054748663
34161,2,-0.2876723148
34163,1,0.4054748652
34165,5,-2.3671138576
34167,1,0.4054748641
34169,2,-0.2876723171
34171,1,0.4054748629
34173,3,-0.9808194988
34175,1,0.4054748618
34177,2,-0.2876723194
34179,1,0.4054748606
34181,4,-1.6739666816
34183,1,0.4054748595
34185,2,-0.2876723216
34187,1,0.4054748584
34189,3,-0.9808195033
34191,1,0.4054748572
34193,2,-0.2876723239
34195,1,0.4054748561
34197,6,-3.0602610473
34199,1,0.4054748549
34201,2,-0.2876723262
34203,1,0.4054748538
34205,3,-0.9808195079
34207,1,0.4054748527
34209,2,-0.2876723285
34211,1,0.4054748515
34213,4,-1.6739666907
34215,1,0.4054748504
34217,2,-0.2876723308
34219,1,0.4054748492
34221,3,-0.9808195125
34223,1,0.4054748481
34225,2,-0.2876723330
34227,1,0.4054748470
34229,5,-2.3671138758
34231,1,0.4054748458
34233,2,-0.2876723353
34235,1,0.4054748447
34237,3,-0.9808195170
34239,1,0.4054748435
34241,2,-0.2876723376
34243,1,0.4054748424
34245,4,-1.6739666998
34247,1,0.4054748413
34249,2,-0.2876723399
34251,1,0.4054748401
34253,3,-0.9808195216
34255,1,0.4054748390
34257,2,-0.2876723421
34259,1,0.4054748379
34261,7,-3.7534082461
34263,1,0.4054748367
34265,2,-0.2876723444
34267,1,0.4054748356
34269,3,-0.9808195261
34271,1,0.4054748345
34273,2,-0.2876723467
34275,1,0.4054748333
34277,4,-1.6739667089
34279,1,0.4054748322
34281,2,-0.2876723489
34283,1,0.4054748311
34285,3,-0.9808195306
34287,1,0.4054748299
34289,2,-0.2876723512
34291,1,0.4054748288
34293,5,-2.3671138940
34295,1,0.4054748277
34297,2,-0.2876723535
34299,1,0.4054748265
34301,3,-0.9808195352
34303,1,0.4054748254
34305,2,-0.2876723557
34307,1,0.4054748243
34309,4,-1.6739667180
34311,1,0.4054748231
34313,2,-0.2876723580
34315,1,0.4054748220
34317,3,-0.9808195397
34319,1,0.4054748209
34321,2,-0.2876723603
34323,1,0.4054748197
34325,6,-3.0602610836
34327,1,0.4054748186
34329,2,-0.2876723625
34331,1,0.4054748175
34333,3,-0.9808195442
34335,1,0.4054748163
34337,2,-0.2876723648
34339,1,0.4054748152
34341,4,-1.6739667270
34343,1,0.4054748141
34345,2,-0.2876723671
34347,1,0.4054748129
34349,3,-0.9808195487
34351,1,0.4054748118
34353,2,-0.2876723693
34355,1,0.4054748107
34357,5,-2.3671139121
34359,1,0.4054748095
34361,2,-0.2876723716
34363,1,0.4054748084
34365,3,-0.9808195533
34367,1,0.4054748073
34369,2,-0.2876723738
34371,1,0.4054748062
34373,4,-1.6739667361
34375,1,0.4054748050
34377,2,-0.2876723761
34379,1,0.4054748039
34381,3,-0.9808195578
34383,1,0.4054748028
34385,2,-0.2876723783
34387,1,0.4054748016
34389,8,-4.4465554628
34391,1,0.4054748005
34393,2,-0.2876723806
34395,1,0.4054747994
34397,3,-0.9808195623
34399,1,0.4054747983
34401,2,-0.2876723829
34403,1,0.4054747971
34405,4,-1.6739667451
34407,1,0.4054747960
34409,2,-0.2876723851
34411,1,0.4054747949
34413,3,-0.9808195668
34415,1,0.4054747938
34417,2,-0.2876723874
34419,1,0.4054747926
34421,5,-2.3671139302
34423,1,0.4054747915
34425,2,-0.2876723896
34427,1,0.4054747904
34429,3,-0.9808195713
34431,1,0.4054747893
34433,2,-0.2876723919
34435,1,0.4054747881
34437,4,-1.6739667541
34439,1,0.4054747870
34441,2,-0.2876723941
34443,1,0.4054747859
34445,3,-0.9808195758
34447,1,0.4054747848
34449,2,-0.2876723964
34451,1,0.4054747836
34453,6,-3.0602611197
34455,1,0.4054747825
34457,2,-0.2876723986
34459,1,0.4054747814
34461,3,-0.9808195803
34463,1,0.4054747803
34465,2,-0.2876724009
34467,1,0.4054747791
34469,4,-1.6739667631
34471,1,0.4054747780
34473,2,-0.2876724031
34475,1,0.4054747769
34477,3,-0.9808195848
34479,1,0.4054747758
34481,2,-0.2876724053
34483,1,0.4054747747
34485,5,-2.3671139481
34487,1,0.4054747735
34489,2,-0.2876724076
34491,1,0.4054747724
34493,3,-0.9808195893
34495,1,0.4054747713
34497,2,-0.2876724098
34499,1,0.4054747702
34501,4,-1.6739667721
34503,1,0.4054747691
34505,2,-0.2876724121
34507,1,0.4054747679
34509,3,-0.9808195937
34511,1,0.4054747668
34513,2,-0.2876724143
34515,1,0.4054747657
34517,7,-3.7534083182
34519,1,0.4054747646
34521,2,-0.2876724165
34523,1,0.4054747635
34525,3,-0.9808195982
34527,1,0.4054747623
34529,2,-0.2876724188
34531,1,0.4054747612
34533,4,-1.6739667810
34535,1,0.4054747601
34537,2,-0.2876724210
34539,1,0.4054747590
34541,3,-0.9808196027
34543,1,0.4054747579
34545,2,-0.2876724232
34547,1,0.4054747568
34549,5,-2.3671139660
34551,1,0.4054747556
34553,2,-0.2876724255
34555,1,0.4054747545
34557,3,-0.9808196072
34559,1,0.4054747534
34561,2,-0.2876724277
34563,1,0.4054747523
34565,4,-1.6739667900
34567,1,0.4054747512
34569,2,-0.2876724299
34571,1,0.4054747501
34573,3,-0.9808196116
34575,1,0.4054747489
34577,2,-0.2876724322
34579,1,0.4054747478
34581,6,-3.0602611555
34583,1,0.4054747467
34585,2,-0.2876724344
34587,1,0.4054747456
34589,3,-0.9808196161
34591,1,0.4054747445
34593,2,-0.2876724366
34595,1,0.4054747434
34597,4,-1.6739667989
34599,1,0.4054747423
34601,2,-0.2876724389
34603,1,0.4054747411
34605,3,-0.9808196205
34607,1,0.4054747400
34609,2,-0.2876724411
34611,1,0.4054747389
34613,5,-2.3671139839
34615,1,0.4054747378
34617,2,-0.2876724433
34619,1,0.4054747367
34621,3,-0.9808196250
34623,1,0.4054747356
34625,2,-0.2876724455
34627,1,0.4054747345
34629,4,-1.6739668078
34631,1,0.4054747333
34633,2,-0.2876724478
34635,1,0.4054747322
34637,3,-0.9808196294
34639,1,0.4054747311
34641,2,-0.2876724500
34643,1,0.4054747300
34645,9,-5.1397027150
34647,1,0.4054747289
34649,2,-0.2876724522
34651,1,0.4054747278
34653,3,-0.9808196339
34655,1,0.4054747267
34657,2,-0.2876724544
34659,1,0.4054747256
34661,4,-1.6739668167
34663,1,0.4054747245
34665,2,-0.2876724567
34667,1,0.4054747234
34669,3,-0.9808196383
34671,1,0.4054747222
34673,2,-0.2876724589
34675,1,0.4054747211
34677,5,-2.3671140017
34679,1,0.4054747200
34681,2,-0.2876724611
34683,1,0.4054747189
34685,3,-0.9808196428
34687,1,0.4054747178
34689,2,-0.2876724633
34691,1,0.4054747167
34693,4,-1.6739668255
34695,1,0.4054747156
34697,2,-0.2876724655
34699,1,0.4054747145
34701,3,-0.9808196472
34703,1,0.4054747134
34705,2,-0.2876724677
34707,1,0.4054747123
34709,6,-3.0602611911
34711,1,0.4054747112
34713,2,-0.2876724699
34715,1,0.4054747101
34717,3,-0.9808196516
34719,1,0.4054747090
34721,2,-0.2876724722
34723,1,0.4054747078
34725,4,-1.6739668344
34727,1,0.4054747067
34729,2,-0.2876724744
34731,1,0.4054747056
34733,3,-0.9808196560
34735,1,0.4054747045
34737,2,-0.2876724766
34739,1,0.4054747034
34741,5,-2.3671140194
34743,1,0.4054747023
34745,2,-0.2876724788
34747,1,0.4054747012
34749,3,-0.9808196605
34751,1,0.4054747001
34753,2,-0.2876724810
34755,1,0.4054746990
34757,4,-1.6739668432
34759,1,0.4054746979
34761,2,-0.2876724832
34763,1,0.4054746968
34765,3,-0.9808196649
34767,1,0.4054746957
34769,2,-0.2876724854
34771,1,0.4054746946
34773,7,-3.7534083893
34775,1,0.4054746935
34777,2,-0.2876724876
34779,1,0.4054746924
34781,3,-0.9808196693
34783,1,0.4054746913
34785,2,-0.2876724898
34787,1,0.4054746902
34789,4,-1.6739668520
34791,1,0.4054746891
34793,2,-0.2876724920
34795,1,0.4054746880
34797,3,-0.9808196737
34799,1,0.4054746869
34801,2,-0.2876724942
34803,1,0.4054746858
34805,5,-2.3671140370
34807,1,0.4054746847
34809,2,-0.2876724964
34811,1,0.4054746836
34813,3,-0.9808196781
34815,1,0.4054746825
34817,2,-0.2876724986
34819,1,0.4054746814
34821,4,-1.6739668609
34823,1,0.4054746803
34825,2,-0.2876725008
34827,1,0.4054746792
34829,3,-0.9808196825
34831,1,0.4054746781
34833,2,-0.2876725030
34835,1,0.4054746770
34837,6,-3.0602612264
34839,1,0.4054746759
34841,2,-0.2876725052
34843,1,0.4054746748
34845,3,-0.9808196869
34847,1,0.4054746737
34849,2,-0.2876725074
34851,1,0.4054746726
34853,4,-1.6739668696
34855,1,0.4054746715
34857,2,-0.2876725096
34859,1,0.4054746704
34861,3,-0.9808196913
34863,1,0.4054746693
34865,2,-0.2876725118
34867,1,0.4054746682
34869,5,-2.3671140546
34871,1,0.4054746671
34873,2,-0.2876725140
34875,1,0.4054746660
34877,3,-0.9808196957
34879,1,0.4054746649
34881,2,-0.2876725162
34883,1,0.4054746638
34885,4,-1.6739668784
34887,1,0.4054746627
34889,2,-0.2876725184
34891,1,0.4054746616
34893,3,-0.9808197000
34895,1,0.4054746605
34897,2,-0.2876725206
34899,1,0.4054746594
34901,8,-4.4465556050
34903,1,0.4054746583
34905,2,-0.2876725228
34907,1,0.4054746572
34909,3,-0.9808197044
34911,1,0.4054746562
34913,2,-0.2876725250
34915,1,0.4054746551
34917,4,-1.6739668872
34919,1,0.4054746540
34921,2,-0.2876725271
34923,1,0.4054746529
34925,3,-0.9808197088
34927,1,0.4054746518
34929,2,-0.2876725293
34931,1,0.4054746507
34933,5,-2.3671140721
34935,1,0.4054746496
34937,2,-0.2876725315
34939,1,0.4054746485
34941,3,-0.9808197132
34943,1,0.4054746474
34945,2,-0.2876725337
34947,1,0.4054746463
34949,4,-1.6739668959
34951,1,0.4054746452
34953,2,-0.2876725359
34955,1,0.4054746441
34957,3,-0.9808197175
34959,1,0.4054746430
34961,2,-0.2876725381
34963,1,0.4054746420
34965,6,-3.0602612614
34967,1,0.4054746409
34969,2,-0.2876725402
34971,1,0.4054746398
34973,3,-0.9808197219
34975,1,0.4054746387
34977,2,-0.2876725424
34979,1,0.4054746376
34981,4,-1.6739669046
34983,1,0.4054746365
34985,2,-0.2876725446
34987,1,0.4054746354
34989,3,-0.9808197263
34991,1,0.4054746343
34993,2,-0.2876725468
34995,1,0.4054746332
34997,5,-2.3671140896
34999,1,0.4054746321
35001,2,-0.2876725490
35003,1,0.4054746311
