trial,n,log_T2n_minus_log_n
1,2053695854357871005,-0.5753641449035598
2,134200604033000292603,0.11778303565638737
3,46953725099623440721,-1.268511325463507
4,26229828006099715177,0.11778303565638026
5,112408836634656688751,0.8109302162163274
6,121033608479474651059,-0.5753641449035598
7,136865983276318279927,0.8109302162163345
8,158443985866789444907,0.11778303565638737
9,16035760590688802187,0.11778303565638737
10,107098461982645367563,0.11778303565638737
11,192263300410947224443,0.11778303565638737
12,113548555024314045321,0.11778303565638026
13,198551421554638187107,-2.654805686583394
14,223071787742485181421,-1.268511325463507
15,158710732158944508785,-3.3479528671433414
16,65231894595619315303,0.8109302162163274
17,238374275529133923661,-1.9616585060234542
18,176204048939831017449,0.11778303565638026
19,218809871425782740783,0.8109302162163274
20,180281290501557553807,0.8109302162163274
21,71324034730240257785,0.11778303565638026
22,263382124994443080663,0.8109302162163274
23,218300806461696784175,0.8109302162163274
24,209742818358398792425,0.11778303565638737
25,159936502497361936559,0.8109302162163274
26,96749684879182532053,-3.3479528671433414
27,154573670074824437619,-0.5753641449035598
28,139401117981442007493,-6.120541589383123
29,32761415946210390733,-1.9616585060234542
30,33606326248280351993,0.11778303565638026
31,227180010597913164623,0.8109302162163345
32,111901428679638166175,0.8109302162163274
33,197710621580851781871,0.8109302162163274
34,288791870442845417839,0.8109302162163345
35,82251299009045065907,-0.5753641449035598
36,131702933376979644383,0.8109302162163274
37,135804864339101293719,0.8109302162163274
38,92188297279745080805,-1.268511325463507
39,45997248572789117097,0.11778303565638026
40,47895292979562327273,0.11778303565638737
41,17384780973582585581,-1.268511325463507
42,68635203265756597671,0.8109302162163274
43,61615362164131238547,-0.5753641449035669
44,100253723770975605513,0.11778303565638026
45,205733571756171187849,0.11778303565638737
46,16943214551238001183,0.8109302162163274
47,282680784980534390453,-2.654805686583394
48,180903065029737711673,0.11778303565638026
49,130195739317304606519,0.8109302162163274
50,51946460254030126817,-0.5753641449035598
51,76106848319797311925,-2.6548056865834013
52,150620007354719006129,-1.961658506023447
53,128469820136263697567,0.8109302162163274
54,123406276192083165995,0.11778303565638026
55,227111079593642283751,0.8109302162163274
56,63668681574214261173,-2.6548056865834013
57,41038422474373905949,-0.5753641449035598
58,37026135799530269367,0.8109302162163274
59,30088538900070207599,0.8109302162163345
60,200324914921293393403,0.11778303565638737
61,138611714908320150803,-0.5753641449035598
62,289041622937419532603,0.11778303565638026
63,83734086687477217595,0.11778303565638026
64,287330389890708791643,0.11778303565638737
65,291174834889978876201,0.11778303565638737
66,118189395429050294173,-0.5753641449035669
67,246343309571818872531,-0.5753641449035598
68,222479035380347824623,0.8109302162163274
69,131142866388559237727,0.8109302162163274
70,242393579946239350397,-0.5753641449035669
71,263392668073158316663,0.8109302162163274
72,54768314114063674281,0.11778303565638026
73,242875571405897031105,-0.5753641449035598
74,119559960087852415511,0.8109302162163274
75,224397947710566742737,-1.268511325463507
76,239536668939991728423,0.8109302162163274
77,174414119642924465357,-1.9616585060234542
78,113535961936285826937,0.11778303565638026
79,19501257274637707195,0.11778303565638737
80,62788576528475509399,0.8109302162163345
81,48319060362880909951,0.8109302162163274
82,194111079745812870707,-0.5753641449035669
83,115490742476791670997,-6.12054158938313
84,197678847609476950363,0.11778303565638737
85,226260651839086822877,-0.5753641449035598
86,192901745459541613507,-1.268511325463507
87,258426256899936759683,-1.268511325463507
88,38737816742904474957,-1.9616585060234542
89,53142564119451837593,0.11778303565638026
90,207420436893494926019,-1.268511325463507
91,261164332520945544979,-0.5753641449035598
92,176251303088020634779,0.11778303565638026
93,67577594087324749919,0.8109302162163274
94,89985559688980051823,0.8109302162163274
95,171044634504207232811,0.11778303565638026
96,163307417021789858601,0.11778303565638737
97,156585774605788151025,-2.6548056865834013
98,162872724626397427251,-0.5753641449035598
99,184532847170738013485,-1.268511325463507
100,97065942159990196707,-3.3479528671433414
101,38957197015243142823,0.8109302162163274
102,218309745544489673695,0.8109302162163274
103,83979265339532728529,-1.268511325463507
104,20797698955935121559,0.8109302162163274
105,67642982259941781063,0.8109302162163274
106,255943274668234286813,-0.5753641449035669
107,108182880435970953549,-1.9616585060234542
108,256066932120883514833,-1.268511325463507
109,152151830149450253419,0.11778303565638737
110,292539411110744939275,0.11778303565638737
111,211405280819015559667,-0.5753641449035598
112,133325604309282260683,0.11778303565638737
113,122855927729804468059,0.11778303565638737
114,153629316807517134289,-1.268511325463507
115,208063132174260943895,0.8109302162163274
116,230757805005743859125,-2.6548056865834013
117,97052290275687017635,-1.9616585060234542
118,56045952944513063557,-1.9616585060234542
119,210930471255347356877,-1.961658506023447
120,198974480045674982873,0.11778303565638737
121,223494217122337038125,-1.268511325463507
122,121316636550173684009,0.11778303565638026
123,246526373270381454587,0.11778303565638737
124,175375455796974447505,-1.268511325463507
125,192000960252140420681,0.11778303565638737
126,178881921832930489911,0.8109302162163274
127,113028509965711440379,0.11778303565638026
128,226912474257943486937,0.11778303565638737
129,15379514896979172579,-4.734247228263236
130,115973088372532625335,0.8109302162163274
131,196544627822430137381,-1.268511325463507
132,266403930578293978953,0.11778303565638026
133,49047139315331687717,-1.268511325463507
134,195890786336684665207,0.8109302162163274
135,2718200874537725417,0.11778303565638026
136,259597860746471126953,0.11778303565638737
137,283784313652986004903,0.8109302162163274
138,78287694877042910819,-2.654805686583394
139,12684394727038216937,0.11778303565638026
140,71674182280656568109,-1.268511325463507
141,136969771604410535769,0.11778303565638026
142,267809051116109776429,-1.268511325463507
143,139409530617044081829,-1.268511325463507
144,70989275726476169349,-1.9616585060234542
145,268360870748588843449,0.11778303565638026
146,267010614862543515185,-1.9616585060234542
147,142995042524359975071,0.8109302162163274
148,159336729949478404365,-2.6548056865834013
149,140688676539421592793,0.11778303565638026
150,45007705389730104495,0.8109302162163274
151,134397962633444253787,0.11778303565638026
152,190662734353240366873,0.11778303565638737
153,46857537979888265245,-0.5753641449035598
154,131909543126102735751,0.8109302162163274
155,86588090935975778771,-0.5753641449035598
156,40840222160973193871,0.8109302162163274
157,191986322061915375701,-4.734247228263236
158,248402459396720332891,0.11778303565638026
159,8798723081425168053,-2.654805686583394
160,172509501355214734449,-5.427394408823176
161,145688904665962300149,-1.9616585060234542
162,151621567425502026617,0.11778303565638737
163,8958513702073725535,0.8109302162163274
164,236084056119326817811,-0.5753641449035598
165,90749525263858983293,-0.5753641449035598
166,238090813567639438841,0.11778303565638737
167,21799052915934092957,-0.5753641449035598
168,191460672734859205285,-1.268511325463507
