n,residue,M,event_A,event_B,stopping_time,mean_traj_event_A
86024198,6,12,0,1,193,0.549223
239267846,6,12,0,1,112,0.482143
229064710,6,12,0,1,104,0.471154
118435846,6,12,0,1,62,0.370968
242049030,6,12,0,1,82,0.426829
119828486,6,12,0,1,138,0.514493
16482310,6,12,0,1,170,0.547059
212013062,6,12,0,1,69,0.391304
172470278,6,12,0,1,91,0.450549
228868102,6,12,0,1,104,0.471154
31563782,6,12,0,1,125,0.512
160313350,6,12,0,1,67,0.38806
67477510,6,12,0,1,80,0.4375
113889286,6,12,0,1,103,0.475728
25473030,6,12,0,1,74,0.432432
164491270,6,12,0,1,75,0.413333
37974022,6,12,0,1,119,0.504202
41041926,6,12,0,1,146,0.527397
166625286,6,12,0,1,110,0.481818
159924230,6,12,0,1,113,0.486726
84938758,6,12,0,1,90,0.455556
223432710,6,12,0,1,131,0.503817
135487495,7,12,1,0,135,0.503704
70004743,7,12,1,0,161,0.52795
4554759,7,12,1,0,57,0.385965
20357127,7,12,1,0,118,0.5
116822023,7,12,1,0,100,0.46
247418887,7,12,1,0,128,0.492188
92086279,7,12,1,0,79,0.417722
20094983,7,12,1,0,80,0.4375
202924039,7,12,1,0,61,0.344262
107593735,7,12,1,0,168,0.529762
186257415,7,12,1,0,183,0.535519
53166087,7,12,1,0,167,0.532934
110469127,7,12,1,0,149,0.516779
232439815,7,12,1,0,242,0.557851
104218631,7,12,1,0,84,0.428571
264331271,7,12,1,0,71,0.380282
56066055,7,12,1,0,129,0.503876
209416199,7,12,1,0,104,0.461538
158953479,7,12,1,0,102,0.460784
268328967,7,12,1,0,144,0.506944
9236487,7,12,1,0,123,0.512195
174669831,7,12,1,0,202,0.544554
215998471,7,12,1,0,112,0.473214
151052295,7,12,1,0,197,0.543147
9715720,8,12,0,1,82,0.463415
84271112,8,12,0,1,63,0.380952
107835400,8,12,0,1,111,0.486486
175955976,8,12,0,1,72,0.402778
72556552,8,12,0,1,131,0.51145
182050824,8,12,0,1,137,0.510949
230449160,8,12,0,1,169,0.532544
114372616,8,12,0,1,73,0.410959
143097864,8,12,0,1,67,0.38806
51761160,8,12,0,1,113,0.495575
203599880,8,12,0,1,134,0.507463
184606728,8,12,0,1,91,0.450549
260116488,8,12,0,1,239,0.560669
125972488,8,12,0,1,100,0.47
35069960,8,12,0,1,117,0.504274
21692424,8,12,0,1,88,0.465909
45465608,8,12,0,1,143,0.524476
71413768,8,12,0,1,85,0.447059
91107336,8,12,0,1,90,0.455556
89419784,8,12,0,1,109,0.486239
114339848,8,12,0,1,103,0.475728
143888392,8,12,0,1,151,0.523179
178368520,8,12,0,1,99,0.464646
