n,v2,log_ratio
9547,1,0.4055000225
9549,3,-0.9807943460
9551,1,0.4055000079
9553,2,-0.2876471800
9555,1,0.4054999932
9557,12,-7.2191190002
9559,1,0.4054999787
9561,2,-0.2876472092
9563,1,0.4054999641
9565,3,-0.9807944043
9567,1,0.4054999495
9569,2,-0.2876472383
9571,1,0.4054999349
9573,4,-1.6739416140
9575,1,0.4054999204
9577,2,-0.2876472674
9579,1,0.4054999058
9581,3,-0.9807944625
9583,1,0.4054998913
9585,2,-0.2876472965
9587,1,0.4054998768
9589,5,-2.3670888527
9591,1,0.4054998623
9593,2,-0.2876473255
9595,1,0.4054998478
9597,3,-0.9807945205
9599,1,0.4054998333
9601,2,-0.2876473544
9603,1,0.4054998189
9605,4,-1.6739417300
9607,1,0.4054998044
9609,2,-0.2876473834
9611,1,0.4054997900
9613,3,-0.9807945783
9615,1,0.4054997756
9617,2,-0.2876474122
9619,1,0.4054997611
9621,6,-3.0602361489
9623,1,0.4054997467
9625,2,-0.2876474410
9627,1,0.4054997323
9629,3,-0.9807946360
9631,1,0.4054997180
9633,2,-0.2876474698
9635,1,0.4054997036
9637,4,-1.6739418453
9639,1,0.4054996892
9641,2,-0.2876474985
9643,1,0.4054996749
9645,3,-0.9807946934
9647,1,0.4054996606
9649,2,-0.2876475272
9651,1,0.4054996462
9653,5,-2.3670890831
9655,1,0.4054996319
9657,2,-0.2876475558
9659,1,0.4054996176
9661,3,-0.9807947506
9663,1,0.4054996034
9665,2,-0.2876475843
9667,1,0.4054995891
9669,4,-1.6739419597
9671,1,0.4054995748
9673,2,-0.2876476129
9675,1,0.4054995606
9677,3,-0.9807948077
9679,1,0.4054995463
9681,2,-0.2876476413
9683,1,0.4054995321
9685,7,-3.7533835584
9687,1,0.4054995179
9689,2,-0.2876476698
9691,1,0.4054995037
9693,3,-0.9807948645
9695,1,0.4054994895
9697,2,-0.2876476982
9699,1,0.4054994753
9701,4,-1.6739420734
9703,1,0.4054994612
9705,2,-0.2876477265
9707,1,0.4054994470
9709,3,-0.9807949212
9711,1,0.4054994329
9713,2,-0.2876477548
9715,1,0.4054994187
9717,5,-2.3670893106
9719,1,0.4054994046
9721,2,-0.2876477830
9723,1,0.4054993905
9725,3,-0.9807949777
9727,1,0.4054993764
9729,2,-0.2876478112
9731,1,0.4054993623
9733,4,-1.6739421864
9735,1,0.4054993482
9737,2,-0.2876478394
9739,1,0.4054993342
9741,3,-0.9807950340
9743,1,0.4054993201
9745,2,-0.2876478675
9747,1,0.4054993061
9749,6,-3.0602366037
9751,1,0.4054992921
9753,2,-0.2876478955
9755,1,0.4054992780
9757,3,-0.9807950901
9759,1,0.4054992640
9761,2,-0.2876479235
9763,1,0.4054992500
9765,4,-1.6739422986
9767,1,0.4054992361
9769,2,-0.2876479515
9771,1,0.4054992221
9773,3,-0.9807951460
9775,1,0.4054992081
9777,2,-0.2876479794
9779,1,0.4054991942
9781,5,-2.3670895350
9783,1,0.4054991802
9785,2,-0.2876480073
9787,1,0.4054991663
9789,3,-0.9807952018
9791,1,0.4054991524
9793,2,-0.2876480351
9795,1,0.4054991385
9797,4,-1.6739424101
9799,1,0.4054991246
9801,2,-0.2876480629
9803,1,0.4054991107
9805,3,-0.9807952573
9807,1,0.4054990969
9809,2,-0.2876480906
9811,1,0.4054990830
9813,8,-4.4465311878
9815,1,0.4054990692
9817,2,-0.2876481183
9819,1,0.4054990553
9821,3,-0.9807953127
9823,1,0.4054990415
9825,2,-0.2876481460
9827,1,0.4054990277
9829,4,-1.6739425209
9831,1,0.4054990139
9833,2,-0.2876481736
9835,1,0.4054990001
9837,3,-0.9807953679
9839,1,0.4054989863
9841,2,-0.2876482011
9843,1,0.4054989725
9845,5,-2.3670897566
9847,1,0.4054989588
9849,2,-0.2876482286
9851,1,0.4054989450
9853,3,-0.9807954229
9855,1,0.4054989313
9857,2,-0.2876482561
9859,1,0.4054989176
9861,4,-1.6739426309
9863,1,0.4054989039
9865,2,-0.2876482835
9867,1,0.4054988902
9869,3,-0.9807954778
9871,1,0.4054988765
9873,2,-0.2876483109
9875,1,0.4054988628
9877,6,-3.0602370468
9879,1,0.4054988491
9881,2,-0.2876483382
9883,1,0.4054988355
9885,3,-0.9807955325
9887,1,0.4054988218
